user_id,full_name,email,university
1,User_1,user1@example.com,Univ C
2,User_2,user2@example.com,Univ C
3,User_3,user3@example.com,Univ A
4,User_4,user4@example.com,Univ C
5,User_5,user5@example.com,Univ D
6,User_6,user6@example.com,Univ A
7,User_7,user7@example.com,Univ B
8,User_8,user8@example.com,Univ A
9,User_9,user9@example.com,Univ C
10,User_10,user10@example.com,Univ D
11,User_11,user11@example.com,Univ D
12,User_12,user12@example.com,Univ C
13,User_13,user13@example.com,Univ B
14,User_14,user14@example.com,Univ C
15,User_15,user15@example.com,Univ D
16,User_16,user16@example.com,Univ A
17,User_17,user17@example.com,Univ B
18,User_18,user18@example.com,Univ C
19,User_19,user19@example.com,Univ C
20,User_20,user20@example.com,Univ A
21,User_21,user21@example.com,Univ A
22,User_22,user22@example.com,Univ B
23,User_23,user23@example.com,Univ C
24,User_24,user24@example.com,Univ C
25,User_25,user25@example.com,Univ C
26,User_26,user26@example.com,Univ D
27,User_27,user27@example.com,Univ B
28,User_28,user28@example.com,Univ A
29,User_29,user29@example.com,Univ A
30,User_30,user30@example.com,Univ D
31,User_31,user31@example.com,Univ C
32,User_32,user32@example.com,Univ C
33,User_33,user33@example.com,Univ C
34,User_34,user34@example.com,Univ B
35,User_35,user35@example.com,Univ A
36,User_36,user36@example.com,Univ A
37,User_37,user37@example.com,Univ A
38,User_38,user38@example.com,Univ B
39,User_39,user39@example.com,Univ C
40,User_40,user40@example.com,Univ B
41,User_41,user41@example.com,Univ D
42,User_42,user42@example.com,Univ C
43,User_43,user43@example.com,Univ C
44,User_44,user44@example.com,Univ B
45,User_45,user45@example.com,Univ C
46,User_46,user46@example.com,Univ B
47,User_47,user47@example.com,Univ A
48,User_48,user48@example.com,Univ A
49,User_49,user49@example.com,Univ C
50,User_50,user50@example.com,Univ B
51,User_51,user51@example.com,Univ C
52,User_52,user52@example.com,Univ D
53,User_53,user53@example.com,Univ C
54,User_54,user54@example.com,Univ A
55,User_55,user55@example.com,Univ C
56,User_56,user56@example.com,Univ A
57,User_57,user57@example.com,Univ A
58,User_58,user58@example.com,Univ C
59,User_59,user59@example.com,Univ D
60,User_60,user60@example.com,Univ D
61,User_61,user61@example.com,Univ A
62,User_62,user62@example.com,Univ D
63,User_63,user63@example.com,Univ C
64,User_64,user64@example.com,Univ D
65,User_65,user65@example.com,Univ B
66,User_66,user66@example.com,Univ D
67,User_67,user67@example.com,Univ A
68,User_68,user68@example.com,Univ B
69,User_69,user69@example.com,Univ C
70,User_70,user70@example.com,Univ C
71,User_71,user71@example.com,Univ D
72,User_72,user72@example.com,Univ D
73,User_73,user73@example.com,Univ C
74,User_74,user74@example.com,Univ B
75,User_75,user75@example.com,Univ C
76,User_76,user76@example.com,Univ B
77,User_77,user77@example.com,Univ D
78,User_78,user78@example.com,Univ A
79,User_79,user79@example.com,Univ B
80,User_80,user80@example.com,Univ C
81,User_81,user81@example.com,Univ C
82,User_82,user82@example.com,Univ C
83,User_83,user83@example.com,Univ C
84,User_84,user84@example.com,Univ B
85,User_85,user85@example.com,Univ A
86,User_86,user86@example.com,Univ C
87,User_87,user87@example.com,Univ A
88,User_88,user88@example.com,Univ C
89,User_89,user89@example.com,Univ C
90,User_90,user90@example.com,Univ A
91,User_91,user91@example.com,Univ D
92,User_92,user92@example.com,Univ B
93,User_93,user93@example.com,Univ D
94,User_94,user94@example.com,Univ C
95,User_95,user95@example.com,Univ D
96,User_96,user96@example.com,Univ B
97,User_97,user97@example.com,Univ B
98,User_98,user98@example.com,Univ A
99,User_99,user99@example.com,Univ B
100,User_100,user100@example.com,Univ C
101,User_101,user101@example.com,Univ B
102,User_102,user102@example.com,Univ B
103,User_103,user103@example.com,Univ B
104,User_104,user104@example.com,Univ B
105,User_105,user105@example.com,Univ D
106,User_106,user106@example.com,Univ B
107,User_107,user107@example.com,Univ D
108,User_108,user108@example.com,Univ D
109,User_109,user109@example.com,Univ A
110,User_110,user110@example.com,Univ D
111,User_111,user111@example.com,Univ A
112,User_112,user112@example.com,Univ C
113,User_113,user113@example.com,Univ D
114,User_114,user114@example.com,Univ C
115,User_115,user115@example.com,Univ A
116,User_116,user116@example.com,Univ A
117,User_117,user117@example.com,Univ A
118,User_118,user118@example.com,Univ D
119,User_119,user119@example.com,Univ A
120,User_120,user120@example.com,Univ B
121,User_121,user121@example.com,Univ C
122,User_122,user122@example.com,Univ D
123,User_123,user123@example.com,Univ B
124,User_124,user124@example.com,Univ D
125,User_125,user125@example.com,Univ C
126,User_126,user126@example.com,Univ B
127,User_127,user127@example.com,Univ B
128,User_128,user128@example.com,Univ C
129,User_129,user129@example.com,Univ B
130,User_130,user130@example.com,Univ C
131,User_131,user131@example.com,Univ A
132,User_132,user132@example.com,Univ D
133,User_133,user133@example.com,Univ C
134,User_134,user134@example.com,Univ B
135,User_135,user135@example.com,Univ A
136,User_136,user136@example.com,Univ C
137,User_137,user137@example.com,Univ A
138,User_138,user138@example.com,Univ D
139,User_139,user139@example.com,Univ A
140,User_140,user140@example.com,Univ D
141,User_141,user141@example.com,Univ A
142,User_142,user142@example.com,Univ A
143,User_143,user143@example.com,Univ C
144,User_144,user144@example.com,Univ A
145,User_145,user145@example.com,Univ D
146,User_146,user146@example.com,Univ D
147,User_147,user147@example.com,Univ C
148,User_148,user148@example.com,Univ D
149,User_149,user149@example.com,Univ C
150,User_150,user150@example.com,Univ B
151,User_151,user151@example.com,Univ B
152,User_152,user152@example.com,Univ B
153,User_153,user153@example.com,Univ C
154,User_154,user154@example.com,Univ D
155,User_155,user155@example.com,Univ D
156,User_156,user156@example.com,Univ C
157,User_157,user157@example.com,Univ A
158,User_158,user158@example.com,Univ B
159,User_159,user159@example.com,Univ A
160,User_160,user160@example.com,Univ A
161,User_161,user161@example.com,Univ D
162,User_162,user162@example.com,Univ C
163,User_163,user163@example.com,Univ B
164,User_164,user164@example.com,Univ A
165,User_165,user165@example.com,Univ A
166,User_166,user166@example.com,Univ B
167,User_167,user167@example.com,Univ D
168,User_168,user168@example.com,Univ A
169,User_169,user169@example.com,Univ C
170,User_170,user170@example.com,Univ D
171,User_171,user171@example.com,Univ C
172,User_172,user172@example.com,Univ A
173,User_173,user173@example.com,Univ A
174,User_174,user174@example.com,Univ D
175,User_175,user175@example.com,Univ C
176,User_176,user176@example.com,Univ B
177,User_177,user177@example.com,Univ B
178,User_178,user178@example.com,Univ D
179,User_179,user179@example.com,Univ B
180,User_180,user180@example.com,Univ A
181,User_181,user181@example.com,Univ D
182,User_182,user182@example.com,Univ A
183,User_183,user183@example.com,Univ C
184,User_184,user184@example.com,Univ D
185,User_185,user185@example.com,Univ D
